[16:07:53] [info] BUBBLE: Creating window Bubble Editor (1600, 900)
[16:07:53] [info] BUBBLE: OpenGL Info:
[16:07:53] [info] BUBBLE:   Vendor: NVIDIA Corporation
[16:07:53] [info] BUBBLE:   Renderer: NVIDIA GeForce RTX 2060/PCIe/SSE2
[16:07:53] [info] BUBBLE:   Version: 4.5.0 NVIDIA 551.86
[16:07:54] [error] BUBBLE: Program/shader state performance warning: Vertex shader in program 4 is being recompiled based on GL state.
[16:07:55] [error] BUBBLE: Program/shader state performance warning: Vertex shader in program 5 is being recompiled based on GL state.
[16:07:55] [error] BUBBLE: Program/shader state performance warning: Vertex shader in program 6 is being recompiled based on GL state.
[16:07:55] [error] BUBBLE: Program/shader state performance warning: Vertex shader in program 6 is being recompiled based on GL state.
[16:07:58] [trace] BUBBLE: Deserializing scene 'Untitled'
[16:07:58] [trace] BUBBLE: Deserialized entity with ID = 5848681991563351995, name = Camera
[16:07:58] [trace] BUBBLE: Deserialized entity with ID = 14631839275510599010, name = A
[16:07:59] [trace] BUBBLE: Deserialized entity with ID = 9868432192625713214, name = B
[16:08:00] [trace] BUBBLE: Deserialized entity with ID = 15354071937906916318, name = C
[16:08:00] [trace] BUBBLE: Deserialized entity with ID = 15040056750909643832, name = D
[16:08:00] [info] BUBBLE: vec3(0.000000, 0.000000, 10.000000)
[16:08:00] [info] BUBBLE: vec3(0.000000, 0.000000, 10.000000)
[16:08:00] [info] BUBBLE: vec3(0.000000, 0.000000, 10.000000)
[16:08:00] [info] BUBBLE: vec3(0.000000, 0.000000, 10.000000)
[16:08:00] [info] BUBBLE: vec3(0.000000, 0.000000, 10.000000)
[16:08:00] [info] BUBBLE: vec3(0.000000, 0.000000, 10.000000)
[16:08:00] [info] BUBBLE: vec3(0.000000, 0.000000, 10.000000)
[16:08:00] [info] BUBBLE: vec3(0.000000, 0.000000, 10.000000)
[16:08:00] [info] BUBBLE: vec3(0.000000, 0.000000, 10.000000)
[16:08:00] [info] BUBBLE: vec3(0.000000, 0.000000, 10.000000)
[16:08:00] [info] BUBBLE: vec3(0.000000, 0.000000, 10.000000)
[16:08:00] [info] BUBBLE: vec3(0.000000, 0.000000, 10.000000)
[16:08:00] [info] BUBBLE: vec3(0.000000, 0.000000, 10.000000)
[16:08:00] [info] BUBBLE: vec3(0.000000, 0.000000, 10.000000)
[16:08:00] [info] BUBBLE: vec3(0.000000, 0.000000, 10.000000)
[16:08:00] [info] BUBBLE: vec3(0.000000, 0.000000, 10.000000)
[16:08:00] [info] BUBBLE: vec3(0.000000, 0.000000, 10.000000)
